+-----------------------------------------+--------+---------------------+
| title                                   | name   | created_at          |
+-----------------------------------------+--------+---------------------+
| Adventures of hers would, in the pool.  | front  | 2024-12-11 13:38:41 |
| Adventures, till she shook the house.   | infra  | 2024-12-11 13:38:41 |
| Alice alone with the bones and the.     | others | 2024-12-11 13:38:41 |
| Alice asked in a whisper.) 'That would. | others | 2024-12-11 13:38:41 |
| Alice crouched down among the people.   | others | 2024-12-11 13:38:42 |
| Alice did not get hold of it; then.     | infra  | 2024-12-11 13:38:42 |
| Alice didn't think that very few.       | front  | 2024-12-11 13:38:41 |
| Alice gave a look askance-- Said he.    | front  | 2024-12-11 13:38:42 |
| Alice had learnt several things of.     | back   | 2024-12-11 13:38:42 |
| Alice in a sort of circle, ('the exact. | back   | 2024-12-11 13:38:41 |
| Alice loudly. 'The idea of the way I.   | front  | 2024-12-11 13:38:42 |
| Alice remarked. 'Oh, you foolish.       | others | 2024-12-11 13:38:41 |
| Alice replied, so eagerly that the.     | back   | 2024-12-11 13:38:41 |
| Alice soon came upon a low trembling.   | back   | 2024-12-11 13:38:41 |
| Alice the moment she appeared; but she. | back   | 2024-12-11 13:38:42 |
| Alice thought to herself. 'I dare say.  | back   | 2024-12-11 13:38:41 |
| Alice thought to herself. 'Of the.      | infra  | 2024-12-11 13:38:42 |
| Alice timidly. 'Would you like the.     | front  | 2024-12-11 13:38:41 |
| Alice timidly. 'Would you like the.     | infra  | 2024-12-11 13:38:41 |
| Alice to herself, 'to be going.         | front  | 2024-12-11 13:38:41 |
| Alice, 'I've often seen them at.        | back   | 2024-12-11 13:38:41 |
| Alice, 'shall I NEVER get any older.    | others | 2024-12-11 13:38:41 |
| Alice, 'to speak to this mouse?.        | front  | 2024-12-11 13:38:41 |
| Alice, and she had never forgotten.     | front  | 2024-12-11 13:38:41 |
| Alice, as she could remember them, all. | back   | 2024-12-11 13:38:41 |
| Alice, that she was always ready to.    | others | 2024-12-11 13:38:42 |
| Alice, thinking it was over at last.    | others | 2024-12-11 13:38:41 |
| Alice,) 'Well, I should like to show.   | infra  | 2024-12-11 13:38:41 |
| Alice; 'and I wish I could say if I.    | back   | 2024-12-11 13:38:42 |
| Alice; 'living at the door opened.      | others | 2024-12-11 13:38:42 |
| Alice. 'Come on, then,' said Alice.     | others | 2024-12-11 13:38:42 |
| Alice. 'I wonder what they said. The.   | front  | 2024-12-11 13:38:42 |
| Alice. 'I'M not a moment that it might. | infra  | 2024-12-11 13:38:41 |
| Alice. 'What IS a long silence after.   | front  | 2024-12-11 13:38:42 |
| Alice. 'Why, you don't know one,' said. | infra  | 2024-12-11 13:38:42 |
| Alice. 'Why, you don't know where Dinn. | back   | 2024-12-11 13:38:41 |
| Alice. 'Why, you don't like it, yer.    | others | 2024-12-11 13:38:42 |
| Alice. 'You are,' said the Rabbit.      | front  | 2024-12-11 13:38:42 |
| Alice's shoulder, and it was the BEST.  | front  | 2024-12-11 13:38:41 |
| Alice's, and they lived at the.         | back   | 2024-12-11 13:38:41 |
| ALL RETURNED FROM HIM TO YOU,"' said.   | front  | 2024-12-11 13:38:41 |
| And it'll fetch things when you have.   | back   | 2024-12-11 13:38:41 |
| And she began nursing her child again.  | others | 2024-12-11 13:38:41 |
| And the Gryphon interrupted in a very.  | front  | 2024-12-11 13:38:41 |
| And with that she knew she had.         | back   | 2024-12-11 13:38:41 |
| As a duck with its head, it WOULD.      | infra  | 2024-12-11 13:38:41 |
| At this moment the King, 'or I'll have. | others | 2024-12-11 13:38:41 |
| Bill's place for a minute, nurse! But.  | infra  | 2024-12-11 13:38:42 |
| But her sister kissed her, and the.     | infra  | 2024-12-11 13:38:42 |
| By the use of a muchness"--did you.     | front  | 2024-12-11 13:38:41 |
| Cat again, sitting on a bough of a.     | others | 2024-12-11 13:38:41 |
| Cat's head with great emphasis.         | front  | 2024-12-11 13:38:41 |
| Caterpillar decidedly, and he went on.  | front  | 2024-12-11 13:38:41 |
| Caterpillar seemed to rise like a.      | others | 2024-12-11 13:38:42 |
| CHAPTER IV. The Rabbit Sends in a.      | infra  | 2024-12-11 13:38:42 |
| CHAPTER VIII. The Queen's argument.     | others | 2024-12-11 13:38:42 |
| Cheshire Cat, she was near enough to.   | others | 2024-12-11 13:38:42 |
| Dinah here, I know who I am! But I'd.   | front  | 2024-12-11 13:38:42 |
| Do you think I can say.' This was.      | front  | 2024-12-11 13:38:42 |
| Dodo solemnly presented the thimble.    | others | 2024-12-11 13:38:41 |
| Dormouse said--' the Hatter added as.   | others | 2024-12-11 13:38:42 |
| Dormouse shall!' they both bowed low.   | front  | 2024-12-11 13:38:42 |
| Dormouse went on, very much at this.    | others | 2024-12-11 13:38:41 |
| Duchess said to the law, And argued.    | others | 2024-12-11 13:38:42 |
| Duchess, as she wandered about for.     | others | 2024-12-11 13:38:41 |
| Duchess, digging her sharp little.      | infra  | 2024-12-11 13:38:41 |
| Duchess; 'and most of 'em do.' 'I.      | front  | 2024-12-11 13:38:42 |
| Duchess: 'flamingoes and mustard both.  | infra  | 2024-12-11 13:38:42 |
| Duchess. An invitation for the baby.    | infra  | 2024-12-11 13:38:41 |
| Either the well was very nearly.        | front  | 2024-12-11 13:38:41 |
| EVEN finish, if he doesn't begin.' But. | front  | 2024-12-11 13:38:42 |
| FOOT, ESQ. HEARTHRUG, NEAR THE FENDER.  | others | 2024-12-11 13:38:41 |
| Footman, 'and that for the immediate.   | others | 2024-12-11 13:38:42 |
| Footman's head: it just grazed his.     | others | 2024-12-11 13:38:42 |
| For instance, suppose it were white.    | others | 2024-12-11 13:38:42 |
| French lesson-book. The Mouse gave a.   | back   | 2024-12-11 13:38:42 |
| Gryphon only answered 'Come on!' and.   | infra  | 2024-12-11 13:38:42 |
| Gryphon went on talking: 'Dear, dear!.  | others | 2024-12-11 13:38:42 |
| Gryphon, and all that,' said the.       | infra  | 2024-12-11 13:38:42 |
| Gryphon, before Alice could think of.   | infra  | 2024-12-11 13:38:42 |
| Gryphon, with a soldier on each side.   | infra  | 2024-12-11 13:38:41 |
| Hatter added as an unusually large.     | back   | 2024-12-11 13:38:42 |
| Hatter and the constant heavy sobbing.  | front  | 2024-12-11 13:38:41 |
| Hatter, 'you wouldn't talk about cats.  | back   | 2024-12-11 13:38:42 |
| Hatter: 'I'm on the end of the.         | infra  | 2024-12-11 13:38:41 |
| Hearts, carrying the King's crown on a. | back   | 2024-12-11 13:38:42 |
| HER about it.' (The jury all.           | back   | 2024-12-11 13:38:41 |
| Him, and ourselves, and it. Don't let.  | front  | 2024-12-11 13:38:41 |
| HIS time of life. The King's argument.  | others | 2024-12-11 13:38:41 |
| How I wonder who will put on her face.  | back   | 2024-12-11 13:38:41 |
| How the Owl and the other guinea-pig.   | others | 2024-12-11 13:38:42 |
| However, she did not much surprised at. | others | 2024-12-11 13:38:42 |
| However, when they had settled down.    | infra  | 2024-12-11 13:38:42 |
| I am very tired of being all alone.     | others | 2024-12-11 13:38:41 |
| I can guess that,' she added in a few.  | others | 2024-12-11 13:38:42 |
| I could not help thinking there MUST.   | front  | 2024-12-11 13:38:41 |
| I gave her answer. 'They're done with.  | others | 2024-12-11 13:38:41 |
| I hadn't drunk quite so much!' said.    | others | 2024-12-11 13:38:41 |
| I know all sorts of things, and she.    | infra  | 2024-12-11 13:38:42 |
| I like"!' 'You might just as the Lory.  | back   | 2024-12-11 13:38:42 |
| I must have been that,' said the King.  | infra  | 2024-12-11 13:38:42 |
| I needn't be so easily offended!'.      | back   | 2024-12-11 13:38:42 |
| I said "What for?"' 'She boxed the.     | back   | 2024-12-11 13:38:42 |
| I say--that's the same words as.        | infra  | 2024-12-11 13:38:41 |
| I shall be a person of authority among. | back   | 2024-12-11 13:38:42 |
| I shall remember it in large letters.   | back   | 2024-12-11 13:38:41 |
| I should think!' (Dinah was the White.  | others | 2024-12-11 13:38:42 |
| I suppose?' 'Yes,' said Alice, whose.   | front  | 2024-12-11 13:38:42 |
| I the same as the Lory hastily. 'I.     | front  | 2024-12-11 13:38:41 |
| I think.' And she began looking at the. | infra  | 2024-12-11 13:38:42 |
| I wish I hadn't quite finished my tea.  | back   | 2024-12-11 13:38:41 |
| I wish you were never even spoke to.    | infra  | 2024-12-11 13:38:41 |
| I wonder?' As she said to the cur.      | infra  | 2024-12-11 13:38:41 |
| I? Ah, THAT'S the great concert given.  | others | 2024-12-11 13:38:41 |
| I'd been the whiting,' said the King.   | back   | 2024-12-11 13:38:42 |
| I'll set Dinah at you!' There was.      | front  | 2024-12-11 13:38:41 |
| I'll stay down here till I'm somebody.  | others | 2024-12-11 13:38:41 |
| I'll tell him--it was for bringing the. | others | 2024-12-11 13:38:41 |
| I'm afraid, sir' said Alice, 'and.      | others | 2024-12-11 13:38:41 |
| I'm here! Digging for apples, indeed!'. | infra  | 2024-12-11 13:38:42 |
| I've seen that done,' thought Alice.    | others | 2024-12-11 13:38:41 |
| Improve his shining tail, And pour the. | infra  | 2024-12-11 13:38:42 |
| King say in a Little Bill It was the.   | back   | 2024-12-11 13:38:42 |
| King, 'or I'll have you executed.       | others | 2024-12-11 13:38:41 |
| King; and as it turned round and look.  | back   | 2024-12-11 13:38:41 |
| King. 'Nearly two miles high,' added.   | back   | 2024-12-11 13:38:41 |
| King. 'Shan't,' said the Mock Turtle.   | back   | 2024-12-11 13:38:41 |
| King. On this the whole cause, and.     | others | 2024-12-11 13:38:41 |
| LITTLE BUSY BEE," but it puzzled her.   | others | 2024-12-11 13:38:42 |
| Lory, as soon as look at all what had.  | front  | 2024-12-11 13:38:41 |
| Lory. Alice replied eagerly, for she.   | others | 2024-12-11 13:38:41 |
| M, such as mouse-traps, and the other.  | front  | 2024-12-11 13:38:41 |
| Majesty,' he began. 'You're a very.     | front  | 2024-12-11 13:38:42 |
| Majesty!' the Duchess was sitting.      | others | 2024-12-11 13:38:42 |
| March Hare will be the use of a.        | back   | 2024-12-11 13:38:41 |
| Mock Turtle replied; 'and then the.     | front  | 2024-12-11 13:38:41 |
| Mock Turtle sighed deeply, and drew.    | back   | 2024-12-11 13:38:42 |
| Mock Turtle with a bound into the wood. | infra  | 2024-12-11 13:38:41 |
| Mock Turtle. 'Certainly not!' said.     | front  | 2024-12-11 13:38:42 |
| Mock Turtle. Alice was beginning to.    | front  | 2024-12-11 13:38:41 |
| Next came an angry voice--the.          | others | 2024-12-11 13:38:41 |
| Nile On every golden scale! 'How.       | others | 2024-12-11 13:38:42 |
| NOT, being made entirely of.            | back   | 2024-12-11 13:38:41 |
| ONE respectable person!' Soon her eye.  | front  | 2024-12-11 13:38:42 |
| Our family always HATED cats: nasty.    | others | 2024-12-11 13:38:41 |
| Pigeon had finished. 'As if I must, I.  | back   | 2024-12-11 13:38:41 |
| Queen jumped up and down, and the.      | others | 2024-12-11 13:38:41 |
| Queen ordering off her unfortunate.     | front  | 2024-12-11 13:38:42 |
| Queen put on one knee as he spoke, and. | front  | 2024-12-11 13:38:41 |
| Queen to-day?' 'I should like to be a.  | front  | 2024-12-11 13:38:42 |
| Queen, who was reading the list of the. | others | 2024-12-11 13:38:41 |
| Queen, who were lying on the floor, as. | front  | 2024-12-11 13:38:41 |
| Rabbit's little white kid gloves and a. | back   | 2024-12-11 13:38:41 |
| Rabbit's voice along--'Catch him, you.  | others | 2024-12-11 13:38:41 |
| Said the mouse doesn't get out." Only.  | back   | 2024-12-11 13:38:41 |
| Shakespeare, in the air: it puzzled.    | back   | 2024-12-11 13:38:42 |
| She did not dare to laugh; and, as the. | infra  | 2024-12-11 13:38:41 |
| She gave me a good thing!' she said to. | others | 2024-12-11 13:38:41 |
| She got up this morning, but I THINK I. | back   | 2024-12-11 13:38:42 |
| She said it to half-past one as long.   | back   | 2024-12-11 13:38:41 |
| She took down a very curious to see.    | back   | 2024-12-11 13:38:42 |
| So she set to work at once without.     | others | 2024-12-11 13:38:41 |
| Soon her eye fell on a crimson velvet.  | back   | 2024-12-11 13:38:41 |
| Soup, so rich and green, Waiting in a.  | others | 2024-12-11 13:38:41 |
| That he met in the prisoner's.          | others | 2024-12-11 13:38:42 |
| That he met in the window?' 'Sure.      | back   | 2024-12-11 13:38:41 |
| The Cat only grinned when it grunted.   | others | 2024-12-11 13:38:41 |
| THE KING AND QUEEN OF HEARTS. Alice.    | front  | 2024-12-11 13:38:42 |
| The Queen had ordered. They very soon.  | back   | 2024-12-11 13:38:42 |
| The Queen smiled and passed on. 'Who.   | infra  | 2024-12-11 13:38:42 |
| The question is, Who in the pictures.   | back   | 2024-12-11 13:38:41 |
| The table was a real nose; also its.    | others | 2024-12-11 13:38:42 |
| There seemed to Alice severely. 'What.  | back   | 2024-12-11 13:38:41 |
| There was a table set out under a tree. | others | 2024-12-11 13:38:42 |
| This is the reason and all sorts of.    | infra  | 2024-12-11 13:38:41 |
| This is the reason of that?' 'In my.    | infra  | 2024-12-11 13:38:41 |
| This question the Dodo in an offended.  | front  | 2024-12-11 13:38:41 |
| Tortoise because he was in livery.      | infra  | 2024-12-11 13:38:41 |
| VERY good opportunity for repeating.    | back   | 2024-12-11 13:38:41 |
| WHAT?' said the Hatter. He had been.    | others | 2024-12-11 13:38:42 |
| WHAT?' thought Alice to herself, 'I.    | back   | 2024-12-11 13:38:42 |
| White Rabbit with pink eyes ran close.  | infra  | 2024-12-11 13:38:42 |
| Why, it fills the whole place around.   | others | 2024-12-11 13:38:41 |
| Writhing, of course, Alice could only.  | back   | 2024-12-11 13:38:42 |
| YOU like cats if you cut your finger.   | front  | 2024-12-11 13:38:42 |
| YOU like cats if you don't know what.   | front  | 2024-12-11 13:38:42 |
| YOUR shoes done with?' said the King.   | front  | 2024-12-11 13:38:41 |
| YOURS: I don't take this young lady to. | front  | 2024-12-11 13:38:41 |
+-----------------------------------------+--------+---------------------+
188 rows in set (0.003 sec)
